,player,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3,GMM_Cluster
525,Michael Geerts,0.9986871609815143,3.1958114882309885e-12,0.00012291115581962556,0.0011899278594701063,0
526,Michael Llodra,0.0,8.635182834724983e-38,1.0,3.004432768066154e-68,2
527,Michael Mmoh,0.8164958812724588,0.17968493134400113,7.7848483403035e-05,0.0037413389001371344,0
528,Michael Redlicki,0.0,1.1669339360737735e-30,0.9999962818955325,3.718104468922323e-06,2
529,Michael Russell,0.0,4.949032711585724e-14,0.000978072883973389,0.9990219271159763,3
530,Michael Zheng,0.9776639181851917,0.015677104997392464,1.7528034812739004e-05,0.0066414487826027555,0
531,Michal Przysiezny,0.0,2.2458301984768625e-12,0.9834389802056935,0.016561019792059747,2
532,Michel Kratochvil,0.9978638103602768,0.0018623210893296647,0.00018105704989778538,9.281150049605124e-05,0
533,Mikael Ymer,0.15717096493567395,0.8404928437382791,2.794608038429424e-06,0.0023333967180086722,1
534,Mike Bryan,0.0,1.923892146085229e-263,1.0,3.4356867098871115e-85,2
535,Mikhail Kukushkin,0.19731128978438173,0.7990891633265745,1.061105320457041e-05,0.0035889358358391463,1
536,Mikhail Youzhny,2.120243035589617e-07,0.9991855903985067,8.069108655566515e-06,0.0008061284685340354,1
537,Mili Poljicak,0.0,3.867167644812932e-05,0.01859062820190501,0.9813707001216475,3
538,Miljan Zekic,0.5891337241649753,0.3970888435879648,5.4896755345605756e-05,0.013722535491714186,0
539,Milos Raonic,5.945967364348591e-05,0.9902021893396239,0.009738344897425633,6.089307596182581e-09,1
540,Milos Sekulic,0.9982067644824796,3.8473574736633146e-05,4.2110811316771844e-05,0.001712651131466948,0
541,Miloslav Mecir Jr,0.9996519498500197,1.652190303677488e-06,0.00012010498946242675,0.00022629297021418886,0
542,Minhtuan Pham,0.9999866837432829,5.2652960428537605e-18,9.664401784790625e-06,3.6518549316401543e-06,0
543,Miomir Kecmanovic,0.01689601195257238,0.9795104865945438,1.816681365672951e-05,0.003575334639227129,1
544,Mirza Basic,2.63835122525232e-21,0.9985404125639409,2.166893683653211e-05,0.0014379184992224668,1
545,Mischa Zverev,1.0073724909551907e-11,9.089919861786516e-43,0.9999999999899263,5.108949626997121e-70,2
546,Mitchell Krueger,0.0,5.018916487420831e-10,0.04006064783290687,0.9599393516652015,3
547,Moez Echargui,0.0,4.849994970239264e-49,0.00012775366061234776,0.9998722463393874,3
