player,return_points_won_percent,winners_percent,unforced_percent,aces_and_unret_percentage,net_frequency,net_points_won_ratio,forehand_side_shot_usage_pct,forehand_side_winner_pct,backhand_side_shot_usage_pct,backhand_side_winner_pct
Nicolas Mahut,-0.7136051337634794,1.3765897639522378,-1.5889509594765296,1.2310048683055914,1.6403958353449106,0.49869123092057216,-0.2729072318374809,1.5449987664770228,0.2877760417693228,1.7531928704334976
Nicolas Massu,-0.029461687194255706,-0.6352759800779976,-0.3349107400051106,-0.17490420701386455,-0.47257008099589803,-0.8869748954098969,1.1423304438022739,-0.5836283698815808,-1.097186952483848,-0.9524854596221288
Nicolas Mejia,0.20490659887649448,-0.6486418691738763,-0.5777909008665371,-0.1694916785830548,-0.5831604046654254,0.4738252840618024,0.16384662030530173,-0.859156248082916,-0.19374747873518472,-0.736121457440289
Nicolas Moreno De Alboran,-0.059370233595144976,0.3676617849531329,0.09781998137842991,-0.5332046428054514,-0.19478142604922155,-0.09476941033595618,2.3059210990201984,0.3358249164100841,-2.3214685651008655,-0.7960049052604031
Nicolas Thomann,-0.9499906668891306,-0.12641389366133401,0.29212525675782985,-0.14854200971556966,-0.0253617030161887,0.6088665218543706,1.2139165678151587,-0.1009236884733261,-1.168242629639048,0.6631433973968576
Niels Visker,-0.3966466107005593,0.5451980641663244,1.7395618283136418,-0.22036944583266233,0.4690136361717739,-0.201380910977894,2.076478030091624,0.22712271080826332,-2.0244125876465993,-0.049653469193092055
Nikola Cacic,0.3790890566418934,-0.5813797917702509,1.814213281813751,-1.0517338128049625,-0.21094500568330418,0.30502373378266423,-0.585231887770678,0.10280754510248742,0.5371035210307772,-0.6457277719649903
Nikola Milojevic,1.9252349748461905,0.21117047106725073,0.600072763376238,-0.21292391891808485,-0.5763660434513688,0.5669571700991403,-0.8096686215868748,-0.37630830314632563,0.8296150453176198,-0.05404304097487845
Nikolas Sanchez Izquierdo,-0.8768367069184382,-1.4904261571546549,0.8813785901429632,-0.25975868499364835,-0.24945185487839674,0.001180945710957904,-0.29056239021636926,-1.7835067460542702,0.3250882721631036,-0.9088138714826515
Nikolay Davydenko,0.7081672446236384,0.294477919184352,-0.11581298842548597,-0.37448462429749013,-0.33338779801779295,0.46575968002274687,-0.15237281478859377,-0.05092672847560087,0.18247198082988728,0.14629797048226098
Nikoloz Basilashvili,0.14988553828426196,0.6572379539456804,1.0103122954149206,0.6502771502364646,-0.5800598181376607,-0.3460679540742982,0.18576343437965756,0.05006535327128225,-0.14770802013354975,0.2894786404614801
Nino Serdarusic,-0.3029587281712775,0.010452882138521236,-0.5077437015183971,0.8896909305223981,-0.46801139736501485,1.8242376741411948,2.662663866872285,-0.6274201347928452,-2.6062548391385416,-0.22329976467846316
Nishesh Basavareddy,0.7506647263343005,0.4537922396581217,-0.9287227994536862,0.0729415465619394,-0.09242592096342646,0.24992270707937833,-0.6611168082167863,0.059101887594138536,0.6890025547286462,0.22719650209171954
Noah Rubin,0.11959274201181,-0.8758361622358871,0.10511383319903542,-0.7369744671363634,-0.4317363098410467,0.30502373378266423,0.5655482203321763,-0.3877525539381246,-0.5246786343582037,0.030855267804671092
Norbert Gombos,-0.7029802009155698,0.29170096848373084,0.16051995870380095,1.7267364575577004,-0.5230855458489042,0.08799316913805802,-0.4084404407189448,-0.31266682449313277,0.4420928567204095,-0.8087358466005707
Novak Djokovic,0.8768150355037488,0.2816544583335361,-0.644538996343083,0.10290506675545916,-0.31416779464183114,0.20082524925704376,-0.4078187568426264,-0.2750592512257152,0.4385531065721575,-0.22890889514616028
Nuno Borges,0.10755589212961664,-0.13346801539076955,-0.2053874597706524,0.29858378011332976,-0.2732898244426496,0.30502373378266423,0.6544272734826645,-0.4005932088239715,-0.6168655619276737,-0.6338839960597605
Oleksandr Ovcharenko,-0.1278794976946821,-1.9515527505145058,0.8458325388577859,-0.7458916999551833,-0.6162731394007457,-3.0372469350061024,-1.8229235526588576,-1.4965454045236635,1.846094773703606,-1.3579204454067388
Oleksii Krutykh,1.0541771701814617,0.42300262424802154,0.43339614506015595,-0.23378775807431634,-0.6248362056861373,0.8114283785432225,-0.5507682919182846,0.3568993083262553,0.5611035763537261,-0.4161070307001507
Olivier Rochus,-0.8439815950719515,-0.7431097728218041,-0.9646093127970914,-1.063786453434393,0.33667315858287417,-0.8765871060175905,-0.06294429824572764,-0.1331408623221856,0.03570870009840324,1.1359026094997715
Omar Jasika,-1.0125426036756648,-1.2074870216024474,-0.5446416813274243,-0.8807420982969485,-0.009440764895361723,-0.201380910977894,0.2887144350663966,-0.5339676055492191,-0.24989616299605835,-1.3270587628909298
Oscar Otte,-0.22877495936854722,0.741256554119612,-0.2061613122725426,0.5850147846717548,-0.0263956488308932,-0.05243836732887279,-0.7313013892323059,0.5806239902970474,0.6909412809398652,0.40430756043294924
Otto Virtanen,0.1513008968490777,1.1940831187998502,0.14745717831373875,1.3630928604008516,0.025861000933770837,-0.5567525919380651,-0.4205206639166004,0.796790437442132,0.4540835665308898,-0.4374038568439306
Ozan Baris,-0.7609050979744071,-1.849286772148409,1.073919701271,-0.42388051483108985,-0.08966239293943144,-2.7334041469343964,-0.8099157770298546,-1.0551812601158275,0.8405932962406365,-1.8208456831438755
Pablo Andujar,0.4789977260819754,-0.06153050123834442,-0.37136074942158687,-1.3079049032507488,0.005567910751837366,0.17689725900819558,-0.1350697158781727,0.2856459975542273,0.054254171628510275,0.06296568891938539
Pablo Carreno Busta,0.22243724973300805,0.29308686215401925,-0.6275398615300628,-0.01195138405381463,-0.4697603053254359,0.33645574759908686,-0.06059864550499623,0.06303050500756231,0.09260516199216844,-0.22869208524176754
Pablo Cuevas,0.3008530600527439,-0.13744322123767233,-0.6309255859840361,0.6050441636246476,-0.5567281977564053,-0.5320941514729806,0.6121903011068955,-0.5972038170040727,-0.6717273934604503,-0.29223701819573206
Pablo Llamas Ruiz,-0.5333802770946463,0.528259027595261,-0.43726783039337724,-1.1939223975278426,0.42947072004295034,0.9127093099260762,-0.10452908939971475,1.1967904175628974,0.14043346167824733,0.05934297474234107
Paolo Lorenzi,-0.14731335771145687,0.36662844400097644,-0.7091830915611053,0.3552286185280143,0.1526808946070948,0.5103229162261104,-0.34606285282248767,-0.27633758708811057,0.34066488575801873,0.2800366205914617
Paradorn Srichaphan,0.4172159514451149,1.3027779388243728,-0.2386877254561861,0.9808652630582904,-0.12798254740174544,-0.13603837695419074,-1.3175550242975271,0.9460471267117706,1.3444709815120013,0.5997090365537187
Patrick Brady,-1.8132073945433014,-2.2180768673284135,1.2180277906307457,-1.0892051634797955,0.1550139442440412,-0.8765871060175905,0.1641461815673601,-1.3641760314943938,-0.12625094925572725,-1.247079191300664
Patrick Kaukovalta,-3.604360239766952,0.2933288381423769,-2.017894664525199,2.221763382148472,4.919797319996789,0.2250651037435692,0.8850479746714276,1.6832394608191605,-0.84181092373051,-1.8208456831438755
Patrick Kypson,0.18041219075323608,-0.3286672790425765,-1.2648929085325245,0.9723000748092874,-0.6929390105290266,0.6088665218543706,0.11355609678865491,-0.43945477765611535,-0.07603573253798952,-1.389761863875431
Patrick Rafter,-0.09454076489758069,1.7366365093360805,-1.1452773373931346,0.3907345307547025,4.230161770558283,-0.273141959824507,-1.9816715542624823,3.6050129318221407,1.9967351604926373,2.431014892517949
Paul Capdeville,-1.1555184591877428,-0.5743709085177472,-0.24029680596703695,-0.3511979901887936,0.7167579091533808,-0.28945128662184105,-1.2624174120994271,-0.20333146407323283,1.2897419341514862,-0.3762562887868534
Paul Henri Mathieu,-0.018959239103252624,-0.3126860504008133,-0.42731573418687413,-0.5325217621911525,-0.5479496294037637,-0.025240165766854825,-0.8218555204981606,-0.4672679814095767,0.8524445672641546,0.5168291038763992
Paul Jubb,0.39161646493438135,-0.06626915665031477,-0.5701068318818522,-0.3147928592168187,-0.17275190081191186,0.020171119965439802,0.3757989195365406,0.31780370494819904,-0.35753909770528847,0.4327137720530787
