,player,Kmeans_cluster,hierarchial_cluster,GMM_Cluster,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3
157,Daniel Elahi Galan,3,0,1,0.1631628821674419,0.8349500994625146,1.1455883083986688e-05,0.0018755624869595
158,Daniel Evans,1,2,1,3.624697238427566e-07,0.9997983320675646,8.942721232159948e-05,0.0001118782503899
159,Daniel Gimeno Traver,3,0,0,0.766003771728394,0.2313058310805514,9.932526928973724e-05,0.0025910719217648
160,Daniel Kosakowski,0,1,0,0.9992829433559604,2.1099384019311967e-13,4.9471891938806575e-06,0.0007121094546349
161,Daniel Masur,2,2,2,0.0045037012377576,1.5224003757037588e-63,0.9954962987622408,1.0814321537289453e-16
162,Daniel Michalski,3,0,3,0.0,4.432611875626865e-07,0.0004870780607151,0.9995124786780966
163,Daniel Nestor,2,3,2,5.879492868916361e-16,5.0387143458177185e-54,1.0,1.1622239220138396e-82
164,Daniel Nguyen,1,0,0,0.9886754685888666,2.99591094348485e-09,0.0113245284096506,5.572277681841373e-12
165,Daniel Rincon,0,0,0,0.999932925999868,4.0519268613536343e-13,6.706412679785591e-05,9.872929071012502e-09
166,Daniel Smethurst,0,0,0,0.9984912200352564,0.0002766563057607,0.000100132446966,0.0011319912120171
167,Daniil Medvedev,0,2,1,2.00345040949365e-09,0.9989642966769569,0.0002102349712325,0.0008254663483601
168,Danilo Petrovic,2,0,2,0.0,6.95513773410048e-34,0.9999999999998792,1.2145476180430102e-13
169,Darian King,0,0,1,0.2689463498443378,0.7286037255590809,4.452598171242861e-05,0.0024053986148689
170,Dario Acosta,0,0,0,0.9994461798774754,1.2282811045079646e-13,1.0834294627222847e-06,0.0005527366929395
171,David Ferrer,3,0,1,0.1001258858402203,0.8961146732208545,9.86720376499414e-06,0.0037495737351602
172,David Goffin,1,2,1,0.0071834861839267,0.9913219171286768,8.240937348940378e-06,0.0014863557500475
173,David Guez,0,0,0,0.9994061080949844,1.196175422717071e-10,8.435764968258116e-08,0.0005938074277482
174,David Nalbandian,0,0,1,1.1061294005458244e-20,0.9987424400531262,4.825177907578182e-06,0.0012527347689662
175,David Prinosil,2,3,2,4.181283514581583e-36,1.078936497632348e-127,1.0,2.633944995882669e-150
176,Davide Sanguinetti,0,0,0,0.8794635773859153,0.1134944747268942,2.239656425757724e-05,0.0070195513229329
177,Denis Gremelmayr,0,0,0,0.7799859161523862,0.2065827540369229,6.386210718917136e-05,0.0133674677035018
178,Denis Istomin,0,0,1,0.0001771026182519,0.9916598209487316,0.0001355124641942,0.008027563968822
179,Denis Kudla,0,0,1,0.2518921673303511,0.7454283359203998,4.0714708650416685e-05,0.0026387820405986
180,Denis Shapovalov,1,2,1,0.0014808173432942,0.997893280368851,0.0005825934748399,4.3308813014815646e-05
181,Dennis Novak,1,0,0,0.7597077164313668,0.2339847029246906,0.0001171381173679,0.0061904425265743
182,Dennis Novikov,2,0,0,0.9999659085492412,1.1877983355873996e-18,3.3926849104010004e-05,1.646016540524207e-07
183,Devin Britton,2,0,0,0.9992639216901118,9.224412070743933e-12,0.0007360782301473,7.051723162304807e-11
184,Diego Hartfield,0,0,0,0.9974461799587924,0.0013646507256608,0.0011890760008339,9.331471355100928e-08
185,Diego Schwartzman,0,0,1,7.1923612047763616e-40,0.9982688407069966,4.096907612183859e-06,0.001727062385391
186,Dimitar Kuzmanov,3,0,0,0.9950706788481164,3.585268686386422e-06,2.138753689926436e-07,0.0049255220078285
187,Dino Prizmic,3,0,0,0.5332308645216353,0.463615905094239,4.386754776076942e-06,0.0031488436293497
188,Dmitry Popko,3,0,0,0.6192023244703128,0.3751806851675686,1.9836083591547886e-05,0.005597154278527
189,Dmitry Tursunov,2,0,1,4.2099479782845276e-26,0.9239931923593592,0.0752549657799575,0.0007518418606836
190,Dominic Stricker,1,0,1,7.400109586128625e-33,0.925155150079828,0.0742539376786129,0.0005909122415589
191,Dominic Thiem,1,0,1,9.843214080723903e-08,0.9993928323405576,7.248646564299437e-06,0.0005998205807373
192,Dominik Hrbaty,0,0,0,0.5357796502256059,0.4590700976317295,4.083416516216573e-05,0.0051094179775022
193,Dominik Koepfer,1,0,1,1.6092789626578124e-91,0.9990080952028192,3.69221977847204e-05,0.0009549825993963
194,Donald Young,0,0,1,2.3842525864934508e-148,0.8146789122128727,0.1160806264736816,0.0692404613134457
195,Dragos Dima,0,2,3,0.0,0.0,1.3757979680844662e-23,1.0
196,Duck Hee Lee,0,1,0,0.999936249646819,2.8654355707896275e-33,7.708533025888006e-16,6.375035318009402e-05
197,Dudi Sela,0,2,1,4.9569561711292526e-244,0.9873082655422546,0.0039470223531722,0.0087447121045723
198,Duje Ajdukovic,1,0,0,0.9994100286510554,3.439665651558676e-08,6.093883060297026e-05,0.0005289981216847
199,Dusan Lajovic,3,0,1,1.339925277445142e-06,0.9960941905139252,2.603798490252492e-05,0.0038784315758947
200,Dustin Brown,2,3,2,4.407021642029695e-113,7.716695894619067e-26,1.0,1.9145648078383328e-42
201,Dylan Dietrich,2,2,2,0.3170813942760918,3.671468979713131e-10,0.6829186051293754,2.2738592785884747e-10
202,Dzmitry Zhyrmont,0,1,0,0.9993206749274488,5.201092937516841e-13,1.7202126007021762e-06,0.0006776048594302
203,Edouard Roger Vasselin,1,0,0,0.9928794706634212,9.022498899711124e-05,0.0070301818997635,1.2244781825795942e-07
