,player,Kmeans_cluster
583,Oleksii Krutykh,1
584,Olivier Rochus,0
585,Omar Jasika,0
586,Oscar Otte,1
587,Otto Virtanen,1
588,Ozan Baris,0
589,Pablo Andujar,1
590,Pablo Carreno Busta,1
591,Pablo Cuevas,3
592,Pablo Llamas Ruiz,1
593,Paolo Lorenzi,1
594,Paradorn Srichaphan,2
595,Patrick Brady,0
596,Patrick Kaukovalta,2
597,Patrick Kypson,3
598,Patrick Rafter,2
599,Paul Capdeville,0
600,Paul Henri Mathieu,0
601,Paul Jubb,1
602,Pavel Kotov,0
603,Pavel Tsoy,3
604,Pedja Krstin,0
605,Pedro Araujo,0
606,Pedro Cachin,0
607,Pedro Martinez,1
608,Pedro Sousa,3
609,Pete Sampras,2
610,Peter Bertran,3
611,Peter Fajta,1
612,Peter Gojowczyk,3
613,Peter Polansky,3
614,Petros Tsitsipas,1
615,Philipp Kohlschreiber,1
616,Philipp Petzschner,1
617,Pierre Hugues Herbert,2
618,Pol Martin Tiffon,3
619,Potito Starace,3
620,Prajnesh Gunneswaran,3
621,Preston Stearns,3
622,Quentin Halys,2
623,Radek Stepanek,2
624,Radu Albot,3
625,Rafael Arevalo,3
626,Rafael Nadal,3
627,Rainer Schuettler,0
628,Ramkumar Ramanathan,3
629,Raphael Collignon,3
630,Raul Brancaccio,1
631,Rei Sakamoto,1
632,Reilly Opelka,2
633,Renzo Olivo,3
634,Ricardas Berankis,1
635,Ricardo Hocevar,0
636,Riccardo Bonadio,0
637,Richard Gasquet,1
638,Richard Krajicek,2
639,Rinky Hijikata,1
640,Rio Noguchi,0
641,Robby Ginepri,1
642,Robert Kendrick,1
643,Roberto Bautista Agut,0
644,Roberto Carballes Baena,3
645,Roberto Cid,3
646,Roberto Marcora,0
647,Roberto Quiroz,3
648,Robin Bertrand,0
649,Robin Haase,1
650,Robin Soderling,1
651,Robin Vik,0
652,Rodrigo Pacheco Mendez,3
653,Roger Federer,1
654,Rogerio Dutra Silva,1
655,Roman Andres Burruchaga,1
656,Roman Safiullin,1
657,Roy Smith,1
658,Ruben Bemelmans,0
659,Ruben Gonzales,2
660,Ruben Ramirez Hidalgo,0
661,Rudolf Molleker,1
662,Rudy Coco,0
663,Ryan Harrison,1
664,Ryan Seggerman,3
665,Saidalo Saidkarimov,1
666,Salvatore Caruso,3
667,Sam Querrey,1
668,Samuel Groth,2
