,player,shot_type,shot_usage_pct,winner_pct,induced_forced_pct,unforced_pct,non_pt_ending_pct
12509,Marc Polmans,F,38.71627146361406,3.062302006335797,3.8014783526927136,7.074973600844774,86.06124604012672
12510,Marc Polmans,Fgs,43.949304987735076,2.9767441860465116,3.7209302325581395,6.511627906976744,86.79069767441861
12511,Marc Polmans,Fside,47.83319705641864,4.871794871794872,5.128205128205128,7.0085470085470085,82.991452991453
12512,Marc Polmans,Gs,76.24693376941946,3.3780160857908843,3.3780160857908843,7.292225201072386,85.95174262734584
12513,Marc Polmans,H,0.08176614881439084,50.0,0.0,0.0,50.0
12514,Marc Polmans,Hv,0.1635322976287817,25.0,0.0,0.0,75.0
12515,Marc Polmans,I,0.08176614881439084,0.0,0.0,0.0,100.0
12516,Marc Polmans,L,0.5314799672935405,0.0,23.076923076923077,0.0,76.92307692307693
12517,Marc Polmans,Lo,1.1447260834014716,3.571428571428571,10.714285714285714,0.0,85.71428571428571
12518,Marc Polmans,M,0.6132461161079313,6.666666666666667,0.0,0.0,93.33333333333333
12519,Marc Polmans,Net,2.7800490596892886,41.17647058823529,17.647058823529413,4.411764705882353,36.76470588235294
12520,Marc Polmans,O,0.6132461161079313,46.666666666666664,26.666666666666668,6.666666666666667,20.0
12521,Marc Polmans,Ov,0.6541291905151267,43.75,25.0,6.25,25.0
12522,Marc Polmans,P,0.04088307440719542,0.0,0.0,0.0,100.0
12523,Marc Polmans,R,5.233033524121014,2.34375,3.125,2.34375,92.1875
12524,Marc Polmans,S,11.447260834014719,0.35714285714285715,2.142857142857143,5.357142857142857,92.14285714285714
12525,Marc Polmans,Sl,16.68029435813573,0.9803921568627451,2.450980392156863,4.411764705882353,92.15686274509804
12526,Marc Polmans,Total,100.0,4.497138184791496,4.047424366312347,7.113654946852003,84.34178250204415
12527,Marc Polmans,U,1.757972199509403,18.6046511627907,18.6046511627907,20.930232558139537,41.86046511627907
12528,Marc Polmans,V,0.8994276369582993,40.909090909090914,22.727272727272727,9.090909090909092,27.27272727272727
12529,Marc Polmans,Vo,1.9623875715453802,41.66666666666667,16.666666666666664,4.166666666666666,37.5
12530,Marc Polmans,Y,1.0220768601798855,24.0,12.0,32.0,32.0
12531,Marc Polmans,Z,1.062959934587081,42.30769230769231,11.538461538461538,0.0,46.15384615384615
12532,Marc Rosset,B,11.65644171779141,15.789473684210526,0.0,10.526315789473683,73.68421052631578
12533,Marc Rosset,Base,87.11656441717791,4.929577464788732,2.8169014084507045,10.56338028169014,81.69014084507043
12534,Marc Rosset,Bgs,44.171779141104295,4.166666666666666,1.3888888888888888,4.166666666666666,90.27777777777779
12535,Marc Rosset,Bside,52.14723926380368,7.0588235294117645,3.5294117647058822,4.705882352941177,84.70588235294117
12536,Marc Rosset,F,41.104294478527606,5.970149253731343,4.477611940298507,16.417910447761194,73.13432835820896
12537,Marc Rosset,Fgs,41.104294478527606,5.970149253731343,4.477611940298507,16.417910447761194,73.13432835820896
12538,Marc Rosset,Fside,47.85276073619632,11.538461538461538,3.8461538461538463,14.102564102564102,70.51282051282051
12539,Marc Rosset,Gs,52.760736196319016,8.13953488372093,3.488372093023256,15.11627906976744,73.25581395348837
12540,Marc Rosset,H,0.6134969325153374,100.0,0.0,0.0,0.0
12541,Marc Rosset,Hv,0.6134969325153374,100.0,0.0,0.0,0.0
12542,Marc Rosset,L,0.6134969325153374,0.0,0.0,0.0,100.0
12543,Marc Rosset,Lo,1.8404907975460123,0.0,0.0,33.33333333333333,66.66666666666666
12544,Marc Rosset,M,1.2269938650306749,0.0,0.0,50.0,50.0
12545,Marc Rosset,Net,12.883435582822086,38.095238095238095,9.523809523809524,0.0,52.38095238095239
