match_id,player,winners_per_point,forced_per_point,unforced_per_point
20250501-W-Madrid-SF-Aryna_Sabalenka-Elina_Svitolina,Aryna Sabalenka,0.3968253968253968,0.36507936507936506,0.23809523809523808
20250501-W-Madrid-SF-Aryna_Sabalenka-Elina_Svitolina,Elina Svitolina,0.36363636363636365,0.45454545454545453,0.18181818181818182
20250430-W-Madrid-QF-Elina_Svitolina-Moyuka_Uchijima,Elina Svitolina,0.3888888888888889,0.3611111111111111,0.25
20250430-W-Madrid-QF-Elina_Svitolina-Moyuka_Uchijima,Moyuka Uchijima,0.35,0.25,0.4
20250430-W-Madrid-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,0.3541666666666667,0.1875,0.4583333333333333
20250430-W-Madrid-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,0.2033898305084746,0.1016949152542373,0.6949152542372882
20250429-W-Madrid-R16-Anastasia_Potapova-Marta_Kostyuk,Anastasia Potapova,0.26785714285714285,0.30357142857142855,0.42857142857142855
20250429-W-Madrid-R16-Anastasia_Potapova-Marta_Kostyuk,Marta Kostyuk,0.42857142857142855,0.42857142857142855,0.14285714285714285
20250428-W-Madrid-R16-Mirra_Andreeva-Yulia_Starodubtseva,Mirra Andreeva,0.25,0.20833333333333334,0.5416666666666666
20250428-W-Madrid-R16-Mirra_Andreeva-Yulia_Starodubtseva,Yulia Starodubtseva,0.17543859649122806,0.12280701754385964,0.7017543859649122
20250426-W-Madrid-R32-Magdalena_Frech-Mirra_Andreeva,Magdalena Frech,0.36,0.16,0.48
20250426-W-Madrid-R32-Magdalena_Frech-Mirra_Andreeva,Mirra Andreeva,0.5357142857142857,0.08928571428571429,0.375
20250426-W-Madrid-R32-Linda_Noskova-Iga_Swiatek,Linda Noskova,0.4,0.2,0.4
20250426-W-Madrid-R32-Linda_Noskova-Iga_Swiatek,Iga Swiatek,0.36363636363636365,0.3333333333333333,0.30303030303030304
