player,winners_per_point,forced_per_point,unforced_per_point
Alexandre Muller,0.28628230616302186,0.1848906560636183,0.5288270377733598
Alexandre Penaud,0.3023255813953488,0.06976744186046512,0.627906976744186
Alexei Popyrin,0.3672248803827751,0.19976076555023922,0.43241626794258375
Alexey Vatutin,0.17391304347826086,0.391304347826087,0.43478260869565216
Alexis Galarneau,0.3544973544973545,0.24867724867724866,0.3915343915343915
Aljaz Bedene,0.24286662242866622,0.24153948241539483,0.5136031851360319
Altug Celikbilek,0.20512820512820512,0.1282051282051282,0.6666666666666666
Alvaro Guillen Meza,0.2815126050420168,0.2815126050420168,0.4369747899159664
Amir Weintraub,0.26153846153846155,0.16923076923076924,0.5692307692307692
Amos Mansdorf,0.37662337662337664,0.23376623376623376,0.38961038961038963
Anders Jarryd,0.5121951219512195,0.18292682926829268,0.3048780487804878
Andre Agassi,0.3446684105246961,0.2902754269887675,0.3647484228342822
Andrea Arnaboldi,0.5,0.2857142857142857,0.21428571428571427
Andrea Collarini,0.2962962962962963,0.2962962962962963,0.4074074074074074
Andrea Gaudenzi,0.34177215189873417,0.22784810126582278,0.43037974683544306
Andrea Pellegrino,0.14634146341463414,0.2682926829268293,0.5853658536585366
Andrea Vavassori,0.2907488986784141,0.2511013215859031,0.4581497797356828
Andreas Haider Maurer,0.3169642857142857,0.21428571428571427,0.46875
Andreas Seppi,0.2963855421686747,0.19216867469879517,0.5102409638554217
Andreas Vinciguerra,0.23529411764705882,0.20588235294117646,0.5588235294117647
Andrei Cherkasov,0.42105263157894735,0.21804511278195488,0.3609022556390977
Andrei Chesnokov,0.3199023199023199,0.2673992673992674,0.4126984126984127
Andrei Medvedev,0.33804809052333806,0.2164073550212164,0.44554455445544555
Andrei Pavel,0.3724137931034483,0.23103448275862068,0.39655172413793105
Andrei Stoliarov,0.22580645161290322,0.20967741935483872,0.5645161290322581
Andrej Martin,0.2733812949640288,0.2302158273381295,0.49640287769784175
Andres Artunedo,0.16,0.08,0.76
Andres Gomez,0.3375,0.175,0.4875
Andrew Castle,0.4444444444444444,0.2777777777777778,0.2777777777777778
Andrew Foster,0.4222222222222222,0.26666666666666666,0.3111111111111111
Andrew Harris,0.15384615384615385,0.23076923076923078,0.6153846153846154
Andrey Golubev,0.32608695652173914,0.15217391304347827,0.5173913043478261
Andrey Kuznetsov,0.39644970414201186,0.20710059171597633,0.39644970414201186
Andrey Rublev,0.33543875479359353,0.25524475524475526,0.40852695691405366
Andy Murray,0.3148636763412489,0.2574250727285028,0.4272376699817333
Andy Roddick,0.30407632263660017,0.2756287944492628,0.4199479618386817
Ante Pavic,0.2653061224489796,0.16326530612244897,0.5714285714285714
Antoine Bellier,0.48214285714285715,0.2857142857142857,0.23214285714285715
Antoine Escoffier,0.3888888888888889,0.23333333333333334,0.37777777777777777
Antoine Hoang,0.2727272727272727,0.25,0.4772727272727273
Antonio Veic,0.21428571428571427,0.17857142857142858,0.6071428571428571
Aristotelis Thanos,0.11428571428571428,0.17142857142857143,0.7142857142857143
Arklon Huertas Del Pino,0.2127659574468085,0.2765957446808511,0.5106382978723404
Arnaud Boetsch,0.3942857142857143,0.1657142857142857,0.44
Arnaud Clement,0.3584474885844749,0.2134703196347032,0.4280821917808219
Arnaud Di Pasquale,0.2972972972972973,0.2702702702702703,0.43243243243243246
Arthur Ashe,0.3686440677966102,0.2838983050847458,0.3474576271186441
Arthur Cazaux,0.29439252336448596,0.23598130841121495,0.4696261682242991
Arthur Fery,0.3387096774193548,0.3225806451612903,0.3387096774193548
Arthur Fils,0.3122923588039867,0.19966777408637873,0.48737541528239203
Arthur Rinderknech,0.3248407643312102,0.1859872611464968,0.4878980891719745
Aslan Karatsev,0.3066472586123241,0.20378457059679767,0.4895681707908782
Attila Balazs,0.2484076433121019,0.21656050955414013,0.535031847133758
Axel Michon,0.35714285714285715,0.32142857142857145,0.32142857142857145
Balazs Taroczy,0.3916083916083916,0.17482517482517482,0.43356643356643354
Baptiste Crepatte,0.36585365853658536,0.18292682926829268,0.45121951219512196
Beibit Zhukayev,0.24509803921568626,0.20588235294117646,0.5490196078431373
Ben Shelton,0.28456735057983945,0.23728813559322035,0.47814451382694023
Benjamin Balleret,0.16666666666666666,0.1388888888888889,0.6944444444444444
Benjamin Becker,0.26495726495726496,0.23931623931623933,0.49572649572649574
Benjamin Bonzi,0.30204778156996587,0.28498293515358364,0.4129692832764505
Benjamin Hassan,0.3953488372093023,0.37209302325581395,0.23255813953488372
Benoit Paire,0.34156976744186046,0.15406976744186046,0.5036337209302325
Bernabe Zapata Miralles,0.2910321489001692,0.2927241962774958,0.41624365482233505
Bernard Tomic,0.31575388776200136,0.21636240703177823,0.4672075726842461
Bill Scanlon,0.25,0.11666666666666667,0.6333333333333333
Billy Harris,0.21666666666666667,0.2833333333333333,0.48333333333333334
Bjorn Borg,0.4059339177343223,0.24275118004045854,0.35131490222521916
Bjorn Fratangelo,0.56,0.22,0.22
Bjorn Phau,0.30097087378640774,0.27184466019417475,0.42718446601941745
Blaz Kavcic,0.22727272727272727,0.13636363636363635,0.6363636363636364
Blaz Rola,0.2396694214876033,0.19008264462809918,0.5702479338842975
Bob Bryan,0.5,0.25,0.25
Bobby Reynolds,0.2037037037037037,0.2037037037037037,0.5925925925925926
Bohdan Ulihrach,0.1951219512195122,0.3170731707317073,0.4878048780487805
Boris Becker,0.3923973644196655,0.2675114039533705,0.33948302078053727
Borna Coric,0.2895385699189856,0.2053539978865798,0.5040507220852413
Borna Gojo,0.28,0.25333333333333335,0.4666666666666667
Botic Van De Zandschulp,0.299898536019713,0.2374257138715756,0.4623858530221771
Brad Gilbert,0.3698630136986301,0.2465753424657534,0.3835616438356164
Bradley Klahn,0.27956989247311825,0.21505376344086022,0.5053763440860215
Brandon Holt,0.24489795918367346,0.22448979591836735,0.5306122448979592
Brandon Nakashima,0.31074260994953135,0.25522710886806055,0.43330930064888246
Brayden Schnur,0.3302752293577982,0.21406727828746178,0.4525993883792049
Brian Battistone,0.375,0.28125,0.34375
Brian Gottfried,0.328,0.168,0.496
Brian Teacher,0.47297297297297297,0.35135135135135137,0.17567567567567569
Bruno Kuzuhara,0.1702127659574468,0.26595744680851063,0.5638297872340425
Bu Yunchaokete,0.3253012048192771,0.2891566265060241,0.3855421686746988
Byron Black,0.24324324324324326,0.43243243243243246,0.32432432432432434
Cameron Norrie,0.30937348227294803,0.22098105876639146,0.4696454589606605
Camilo Ugo Carabelli,0.2872340425531915,0.26595744680851063,0.44680851063829785
Carlos Alcaraz,0.36181879534334405,0.2302176480512907,0.4075417580563523
Carlos Berlocq,0.3180778032036613,0.2654462242562929,0.41418764302059496
Carlos Costa,0.3076923076923077,0.18803418803418803,0.5042735042735043
Carlos Eduardo Severino,0.1875,0.16666666666666666,0.6458333333333334
Carlos Gimeno Valero,0.21875,0.125,0.65625
Carlos Moya,0.32273152478952294,0.255378858746492,0.42095416276894293
Carlos Taberner,0.23622047244094488,0.28346456692913385,0.48031496062992124
Casper Ruud,0.35906401291016676,0.2241796664873588,0.4160839160839161
Cedric Pioline,0.3614457831325301,0.23110624315443593,0.40744797371303393
Cedrik Marcel Stebe,0.20454545454545456,0.11363636363636363,0.6818181818181818
Cem Ilkel,0.40522875816993464,0.3006535947712418,0.29411764705882354
Charles Broom,0.23636363636363636,0.2545454545454545,0.509090909090909
Chase Buchanan,0.25,0.175,0.575
Chieh Fu Wang,0.18421052631578946,0.07894736842105263,0.7368421052631579
Chris Guccione,0.4788732394366197,0.19718309859154928,0.323943661971831
Chris Lewis,0.4126984126984127,0.3253968253968254,0.2619047619047619
Chris Woodruff,0.36046511627906974,0.1744186046511628,0.46511627906976744
Christian Bergstrom,0.3409090909090909,0.2727272727272727,0.38636363636363635
Christian Harrison,0.32,0.16,0.52
Christian Saceanu,0.40298507462686567,0.19402985074626866,0.40298507462686567
Christoph Negritu,0.3055555555555556,0.3888888888888889,0.3055555555555556
Christophe Rochus,0.21875,0.21875,0.5625
Christophe Roger Vasselin,0.4772727272727273,0.18181818181818182,0.3409090909090909
Christopher Eubanks,0.31666666666666665,0.18666666666666668,0.49666666666666665
Christopher Heyman,0.40540540540540543,0.1891891891891892,0.40540540540540543
Christopher Oconnell,0.2941834451901566,0.22595078299776286,0.47874720357941836
Chun Hsin Tseng,0.34710743801652894,0.2809917355371901,0.371900826446281
Clement Chidekh,0.2818181818181818,0.2818181818181818,0.43636363636363634
Coleman Wong,0.3508771929824561,0.26900584795321636,0.38011695906432746
Colton Smith,0.37209302325581395,0.18604651162790697,0.4418604651162791
Conner Huertas Del Pino,0.2905982905982906,0.23076923076923078,0.47863247863247865
Constant Lestienne,0.3333333333333333,0.27314814814814814,0.39351851851851855
Cooper Kose,0.16666666666666666,0.3055555555555556,0.5277777777777778
Cooper Williams,0.2647058823529412,0.14705882352941177,0.5882352941176471
Corentin Denolly,0.29333333333333333,0.14666666666666667,0.56
Corentin Moutet,0.3329938900203666,0.2158859470468432,0.4511201629327902
Corrado Barazzutti,0.3055555555555556,0.5,0.19444444444444445
Corrado Borroni,0.4375,0.125,0.4375
Cristian Garin,0.30277598450613297,0.21755971594577148,0.47966429954809553
Dalibor Svrcina,0.3106796116504854,0.18446601941747573,0.5048543689320388
Damir Dzumhur,0.32792207792207795,0.19480519480519481,0.4772727272727273
Dan Goldie,0.4044943820224719,0.2696629213483146,0.3258426966292135
Daniel Altmaier,0.3315143246930423,0.17326057298772168,0.495225102319236
Daniel Cox,0.2916666666666667,0.125,0.5833333333333334
Daniel Dutra Da Silva,0.296969696969697,0.23030303030303031,0.4727272727272727
Daniel Elahi Galan,0.28815628815628813,0.2490842490842491,0.46153846153846156
Daniel Evans,0.37098844672657255,0.2644415917843389,0.3632862644415918
Daniel Gimeno Traver,0.2981651376146789,0.17889908256880735,0.5229357798165137
Daniel Kosakowski,0.20512820512820512,0.05128205128205128,0.7435897435897436
Daniel Masur,0.5833333333333334,0.25,0.16666666666666666
Daniel Michalski,0.3855421686746988,0.25301204819277107,0.3614457831325301
Daniel Nestor,0.3469387755102041,0.3469387755102041,0.30612244897959184
Daniel Nguyen,0.2714285714285714,0.2571428571428571,0.4714285714285714
Daniel Rincon,0.21428571428571427,0.2619047619047619,0.5238095238095238
Daniel Smethurst,0.2830188679245283,0.09433962264150944,0.6226415094339622
Daniel Vacek,0.5517241379310345,0.2413793103448276,0.20689655172413793
Daniil Medvedev,0.3124655050067019,0.2677599936923441,0.4188283529133486
Danilo Petrovic,0.4126984126984127,0.19047619047619047,0.3968253968253968
Darian King,0.3333333333333333,0.0,0.6666666666666666
Dario Acosta,0.17142857142857143,0.3142857142857143,0.5142857142857142
David Ferrer,0.27984150569588906,0.2367508667657256,0.48241703813769193
David Goffin,0.32015107753832484,0.23950233281493002,0.4392357253943568
David Guez,0.3170731707317073,0.3902439024390244,0.2926829268292683
David Nalbandian,0.30987917555081734,0.2757640369580668,0.414001421464108
David Perez Sanz,0.2916666666666667,0.16666666666666666,0.5416666666666666
David Prinosil,0.475,0.25,0.275
David Wheaton,0.42265193370165743,0.17679558011049723,0.4005524861878453
Davide Sanguinetti,0.26229508196721313,0.23770491803278687,0.5
Denis Gremelmayr,0.24528301886792453,0.2830188679245283,0.4716981132075472
Denis Istomin,0.32142857142857145,0.21626984126984128,0.4623015873015873
Denis Kudla,0.3055555555555556,0.1814814814814815,0.5111111111111111
Denis Shapovalov,0.3462236746550472,0.20751633986928106,0.4453522149600581
Dennis Novak,0.2956204379562044,0.2518248175182482,0.45255474452554745
