player_name,rating,last_match
Jack Sock,1600.2110691562343,2023-04-03
Matthias Bachinger,1599.465199197457,2021-01-05
Greg Rusedski,1598.8933763993,2006-09-22
Marko Tkalec,1598.4025835775,2008-07-18
Jo-Wilfried Tsonga,1598.3036095549394,2022-05-23
Leander Paes,1597.4941590690298,2008-04-11
Zsombor Piros,1597.2600043500163,2024-09-13
Ricardo Rodriguez,1597.2219030950746,2021-09-18
Edouard Roger-Vasselin,1596.1561596678814,2016-06-27
Christopher Rungkat,1595.9610746673177,2023-02-04
Karol Kucera,1595.5686461979678,2005-12-02
Gilles Muller,1595.149545572655,2018-08-27
Soon Woo Kwon,1595.082515066446,2024-09-13
Ryan Harrison,1594.6850483527764,2021-01-04
Thiago Monteiro,1594.659977022033,2024-11-04
Victor Hanescu,1594.2213469297049,2015-03-12
Aslan Karatsev,1593.4824134032294,2024-10-14
Hugo Gaston,1593.2660483859179,2024-11-04
Yosuke Watanuki,1593.2459804319355,2024-10-02
Borna Coric,1592.40744673509,2024-10-14
Philipp Kohlschreiber,1592.057029572867,2022-04-25
Albert Montanes,1591.727748170518,2017-04-24
Alexandre Muller,1591.2466052720404,2024-11-04
Philipp Petzschner,1591.0837028041587,2014-09-22
Kyle Edmund,1591.0161594216017,2023-05-08
Wayne Arthurs,1590.6721948083398,2007-06-25
Orest Tereshchuk,1589.6244568708282,2006-04-07
Sebastian Ofner,1588.9382248230977,2024-08-26
Lucas Pouille,1588.724832231812,2024-07-01
Franco Squillari,1588.511894647519,2004-09-13
Sjeng Schalken,1588.5036346767586,2005-07-18
Max Purcell,1588.3231983761837,2024-08-26
Dudi Sela,1587.5823060442672,2019-09-16
Fabio Fognini,1587.374457398281,2024-11-04
Todd Martin,1586.9431544564918,2004-08-30
Carlos Moya,1586.3457654485458,2010-05-09
Tommy Haas,1585.431837241788,2017-07-31
Timofey Skatov,1584.2031906945608,2024-10-14
Wesley Moodie,1583.1785268791973,2007-10-01
Flavio Saretta,1582.7112128348633,2009-02-09
Filip Krajinovic,1582.4263494405745,2023-05-29
Adrian Mannarino,1581.66459925909,2024-11-04
Arthur Cazaux,1581.3166612484097,2024-10-28
Gijs Brouwer,1581.2170944719087,2024-06-24
Paradorn Srichaphan,1580.987829216316,2007-03-19
Jiri Vesely,1580.865317728437,2024-01-15
Alex Bolt,1580.330555634963,2024-07-15
Tim Van Rijthoven,1580.081856806114,2024-06-10
Steve Darcis,1579.997234850773,2020-01-06
Marcel Felder,1578.2193650627964,2013-04-05
Gabriel Diallo,1577.142198154663,2024-11-20
Jan Frode Andersen,1576.6451325157684,2006-07-21
Simon Greul,1576.2952731791916,2011-04-18
Magnus Gustafsson,1576.293101316793,2001-10-22
Egor Gerasimov,1575.7565069736659,2024-10-02
Altug Celikbilek,1575.7377272425604,2024-02-02
Felix Mantilla,1575.5908731715972,2007-07-23
Hyung Taik Lee,1575.421905828255,2009-07-10
Christopher Eubanks,1575.4123094071524,2024-08-26
Lukas Rosol,1574.9784506596427,2022-10-17
Irakli Labadze,1574.4689792712938,2009-03-06
Bernard Tomic,1574.3951465977527,2021-02-08
Arnaud Clement,1574.2814665750113,2012-05-27
Alexey Kedryuk,1573.9984249609283,2009-07-10
Harshana Godamanna,1573.80336055993,2016-03-04
Learner Tien,1573.7837618077472,2024-12-18
Frederik Nielsen,1573.609174022745,2020-03-06
Tobias Kamke,1573.5715569144759,2019-08-26
Marcel Granollers,1573.127086399701,2019-09-16
Liang Chi Huang,1572.7558021924722,2016-07-15
Dustin Brown,1571.9865895883447,2021-06-07
Wayne Ferreira,1571.959988412408,2005-03-04
Amer Delic,1571.9587433639122,2012-04-06
Pavel Kotov,1571.3576706025653,2024-11-04
