player_name,rating,last_match
J J Wolf,1526.1613335640404,2024-07-29
Khumoun Sultanov,1526.04430664059,2024-09-13
Richard Gasquet,1525.651035954204,2024-11-04
Jesper De Jong,1525.092181912774,2024-11-04
Daniel Elahi Galan,1524.8481673920373,2024-07-29
Andres Andrade,1524.4492953035183,2024-09-14
Justin Engel,1524.148887547082,2024-10-14
Denis Kudla,1524.0642944288047,2024-04-01
Liova Ayite Ajavon,1523.830315297052,2024-09-14
Guido Andreozzi,1523.3289528065507,2024-07-22
Benjamin Balleret,1522.8734927173232,2024-09-14
Omni Kumar,1520.852106279635,2024-08-19
Harold Mayot,1520.341868136307,2024-11-04
Ivan Gakhov,1518.298512541918,2024-04-15
Mirza Basic,1517.2504253514874,2024-09-14
Francesco Passaro,1517.0421634510044,2024-05-06
Fitriadi M Rifqi,1516.707191816662,2024-02-03
Gustavo Heide,1516.576618176794,2024-07-22
Felipe Meligeni Alves,1515.5011297703045,2024-07-15
Andres Martin,1514.357441924911,2024-07-22
Marc Andrea Huesler,1513.9227287703668,2024-10-14
Oscar Otte,1513.8592223063092,2024-06-17
Nicolai Budkov Kjaer,1513.8112989256585,2024-09-13
Wishaya Trongcharoenchaikul,1513.57645235221,2024-02-03
Petr Nesterov,1513.5017679966693,2024-09-14
Rudolf Molleker,1513.1890166451735,2024-07-15
Daniel Cukierman,1512.8844550605156,2024-09-13
Vladyslav Orlov,1512.8754448487905,2024-02-01
Taro Daniel,1512.755991437723,2024-10-14
Franco Roncadelli,1512.4685211518606,2024-09-13
Robert Strombachs,1512.4120909685917,2024-02-02
Nishesh Basavareddy,1512.2885923116787,2024-12-18
Denis Yevseyev,1511.836624597061,2024-09-18
Ugo Blanchet,1511.7496519685546,2024-07-15
Patrick Kypson,1510.673351297681,2024-04-01
Dmitry Popko,1510.4859208997127,2024-02-03
Andrea Pellegrino,1509.1622564663357,2024-07-15
Dalibor Svrcina,1508.9755249735426,2024-01-29
Dane Sweeny,1508.9241482883986,2024-01-15
Moez Echargui,1508.4328259065408,2024-07-29
Viacheslav Bielinskyi,1508.373056054556,2024-02-01
Omar Jasika,1508.030839007116,2024-01-15
Yi Zhou,1508.0282684636036,2024-10-02
Norbert Gombos,1507.7932737978,2024-09-15
Juan Pablo Varillas,1506.7624224940066,2024-09-13
David Jorda Sanchis,1506.2204372958001,2024-04-01
