player_name,surface,rating,last_match
Sergi Bruguera,Carpet,1498.7394781269163,2002-04-22
Martin Lee,Carpet,1498.689046516604,2006-06-26
Oleg Ogorodov,Carpet,1498.6825103414544,2003-04-04
Alexander Shvec,Carpet,1498.6192090326576,2003-02-07
Damir Dzumhur,Carpet,1498.5974162476489,2024-10-14
Yordan Kanev,Carpet,1498.582274851403,2007-07-20
Michael Kohlmann,Carpet,1498.5786993140234,2007-06-11
Pete Sampras,Carpet,1498.5304984710244,2002-08-26
Marsel Ilhan,Carpet,1498.4627737719134,2021-01-05
Alti Vahkal,Carpet,1497.9336310096182,2005-03-04
Soren Hess Olesen,Carpet,1497.892687283202,2018-02-03
Mariusz Fyrstenberg,Carpet,1497.8640080276343,2013-02-01
Florian Mayer,Carpet,1497.8049811448889,2018-08-27
Robin Vik,Carpet,1497.4740649959347,2009-05-17
Mike Scheidweiler,Carpet,1497.4606828204253,2014-04-04
Claude Ngoran,Carpet,1496.81429168976,2005-07-15
Yen Hsun Lu,Carpet,1496.7851536234552,2021-07-24
Alexander Waske,Carpet,1495.8137774143381,2007-08-27
Alexander Peya,Carpet,1495.521643214875,2012-04-06
Benjamin Becker,Carpet,1495.4099738510556,2017-03-20
Wayne Black,Carpet,1494.817822605227,2005-09-23
Tomas Cakl,Carpet,1494.4207347875576,2008-01-07
Potito Starace,Carpet,1492.565567507252,2014-05-26
Adrian Garcia,Carpet,1491.964795723668,2008-01-28
Marcelo Charpentier,Carpet,1491.3470596429875,2003-02-17
Nicolas Massu,Carpet,1490.9234756149945,2013-02-04
Gregory Carraz,Carpet,1490.7991607806516,2006-01-02
Flavio Saretta,Carpet,1490.5653706941803,2009-02-09
Uros Vico,Carpet,1490.5399998652485,2005-09-26
Tzvetan Mihov,Carpet,1490.447286388386,2011-07-08
Nenad Zimonjic,Carpet,1490.36970883346,2017-04-07
Irakli Labadze,Carpet,1490.3412640274569,2009-03-06
Justin Gimelstob,Carpet,1489.5792499932402,2007-10-22
Evgeny Kirillov,Carpet,1489.5588760226956,2011-06-12
Simone Bolelli,Carpet,1489.479982612197,2019-05-27
Cecil Mamiit,Carpet,1489.438503054421,2011-09-16
Rodolphe Cadart,Carpet,1489.2615599691155,2007-10-22
Leonardo Tavares,Carpet,1488.9437407020478,2011-07-08
Bernardo Mota,Carpet,1488.9094297007052,2004-04-09
Mikhail Kukushkin,Carpet,1488.8435965978122,2024-10-14
Francesco Aldi,Carpet,1488.8277768315056,2008-02-11
Michael Lammer,Carpet,1488.6149481216548,2015-03-06
Di Wu,Carpet,1488.2884838606724,2019-09-23
Paul Goldstein,Carpet,1488.2828901062608,2007-08-27
Reda El Amrani,Carpet,1488.080215951354,2017-04-10
Jan Hajek,Carpet,1487.8897868630122,2014-02-17
Vincent Spadea,Carpet,1487.7648483034002,2010-02-22
Jeff Tarango,Carpet,1487.7027468656977,2002-02-11
Sebastian Prieto,Carpet,1487.5585926494696,2007-04-06
Andrej Kracman,Carpet,1487.434269063822,2009-03-06
Nikos Rovas,Carpet,1487.3085738900384,2006-04-07
Lucas Arnold Ker,Carpet,1487.0583120412605,2004-04-09
Simon Greul,Carpet,1486.989417050825,2011-04-18
Gianluca Pozzi,Carpet,1486.9161037287718,2001-10-08
Thierry Guardiola,Carpet,1486.8963120642695,2000-11-06
Jerome Golmard,Carpet,1486.8427646505547,2004-09-13
Bob Bryan,Carpet,1486.8191838220946,2009-07-10
Harri Heliovaara,Carpet,1486.7733937398607,2020-03-06
Andrey Golubev,Carpet,1486.632156107754,2015-09-21
Jean Claude Scherrer,Carpet,1486.6016646683136,2008-09-22
Peter Wessels,Carpet,1486.426612061868,2007-10-07
Mait Kunnap,Carpet,1486.3233553572027,2007-07-20
Francis Casey Alcantara,Carpet,1486.2995542392428,2016-07-15
Jean Rene Lisnard,Carpet,1486.1957162805286,2013-04-05
Wayne Arthurs,Carpet,1486.1951974198482,2007-06-25
Aqeel Khan,Carpet,1486.1847649815095,2024-09-14
Ivo Karlovic,Carpet,1486.132249934789,2021-08-30
Federico Luzzi,Carpet,1486.1130267999124,2007-07-23
Stian Boretti,Carpet,1486.1010853093624,2010-07-09
Jesse Huta Galung,Carpet,1486.086152787516,2015-09-18
Inam Gul,Carpet,1486.0567740645536,2003-04-04
Clemens Trimmel,Carpet,1486.0051638497284,2001-04-06
Amine Ahouda,Carpet,1485.88336736456,2019-04-05
Leos Friedl,Carpet,1485.8676597834715,2006-01-30
Emanuel Couto,Carpet,1485.841136570736,2003-04-04
Benjamin Balleret,Carpet,1485.7756629805085,2024-09-14
Pablo Gonzalez,Carpet,1485.7195534914165,2007-02-09
Jaak Poldma,Carpet,1485.6688812827024,2012-04-06
Robert Lindstedt,Carpet,1485.4385074318561,2011-07-08
Juan Carlos Rebaza Lozano,Carpet,1485.4358728782763,2004-07-16
